Client IP Address: 127.0.0.1, Port: 35940, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 35934, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 35938, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 35932, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 35942, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 35934, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 35938, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 35932, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 35940, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 35944, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 35934, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 35938, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 35932, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 35940, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 35942, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 35946, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 35934, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 35938, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 35932, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 35940, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 35942, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 35944, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 35948, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 35934, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 35938, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 35932, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 35940, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 35942, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 35944, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 35946, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 35950, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 35934, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 35938, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 35932, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 35940, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 35942, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 35944, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 35946, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 35948, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 35952, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 35934, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 35938, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 35932, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 35940, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 35942, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 35944, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 35946, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 35948, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 35950, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 35934, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 35938, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 35932, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 35940, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 35942, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 35944, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 35946, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 35948, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 35952, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 35934, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 35938, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 35932, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 35940, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 35942, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 35944, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 35946, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 35948, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 35950, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 35934, Value: 10, Factorial: 3628800
Client IP Address: 127.0.0.1, Port: 35938, Value: 10, Factorial: 3628800
Client IP Address: 127.0.0.1, Port: 35932, Value: 10, Factorial: 3628800
Client IP Address: 127.0.0.1, Port: 35940, Value: 10, Factorial: 3628800
Client IP Address: 127.0.0.1, Port: 35942, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 35944, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 35946, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 35948, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 35952, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 35934, Value: 11, Factorial: 39916800
Client IP Address: 127.0.0.1, Port: 35938, Value: 11, Factorial: 39916800
Client IP Address: 127.0.0.1, Port: 35932, Value: 11, Factorial: 39916800
Client IP Address: 127.0.0.1, Port: 35940, Value: 11, Factorial: 39916800
Client IP Address: 127.0.0.1, Port: 35942, Value: 10, Factorial: 3628800
Client IP Address: 127.0.0.1, Port: 35944, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 35946, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 35948, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 35950, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 35934, Value: 12, Factorial: 479001600
Client IP Address: 127.0.0.1, Port: 35938, Value: 12, Factorial: 479001600
Client IP Address: 127.0.0.1, Port: 35932, Value: 12, Factorial: 479001600
Client IP Address: 127.0.0.1, Port: 35940, Value: 12, Factorial: 479001600
Client IP Address: 127.0.0.1, Port: 35942, Value: 11, Factorial: 39916800
Client IP Address: 127.0.0.1, Port: 35944, Value: 10, Factorial: 3628800
Client IP Address: 127.0.0.1, Port: 35946, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 35948, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 35952, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 35934, Value: 13, Factorial: 6227020800
Client IP Address: 127.0.0.1, Port: 35938, Value: 13, Factorial: 6227020800
Client IP Address: 127.0.0.1, Port: 35932, Value: 13, Factorial: 6227020800
Client IP Address: 127.0.0.1, Port: 35940, Value: 13, Factorial: 6227020800
Client IP Address: 127.0.0.1, Port: 35942, Value: 12, Factorial: 479001600
Client IP Address: 127.0.0.1, Port: 35944, Value: 11, Factorial: 39916800
Client IP Address: 127.0.0.1, Port: 35946, Value: 10, Factorial: 3628800
Client IP Address: 127.0.0.1, Port: 35948, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 35950, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 35934, Value: 14, Factorial: 87178291200
Client IP Address: 127.0.0.1, Port: 35938, Value: 14, Factorial: 87178291200
Client IP Address: 127.0.0.1, Port: 35932, Value: 14, Factorial: 87178291200
Client IP Address: 127.0.0.1, Port: 35940, Value: 14, Factorial: 87178291200
Client IP Address: 127.0.0.1, Port: 35942, Value: 13, Factorial: 6227020800
Client IP Address: 127.0.0.1, Port: 35944, Value: 12, Factorial: 479001600
Client IP Address: 127.0.0.1, Port: 35946, Value: 11, Factorial: 39916800
Client IP Address: 127.0.0.1, Port: 35948, Value: 10, Factorial: 3628800
Client IP Address: 127.0.0.1, Port: 35952, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 35934, Value: 15, Factorial: 1307674368000
Client IP Address: 127.0.0.1, Port: 35938, Value: 15, Factorial: 1307674368000
Client IP Address: 127.0.0.1, Port: 35932, Value: 15, Factorial: 1307674368000
Client IP Address: 127.0.0.1, Port: 35940, Value: 15, Factorial: 1307674368000
